Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Price,Save%
11,Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,23,1819,20.2,0.5,0.2,31,22,58,109,89,4,3,0,0
23,Ayoze Pérez\Ayoze-Perez,MFFW,Leicester City,25,1331,14.8,3.2,1.3,32,31,51,6,76.6,23,13,0,0
47,Cengiz Ünder\Cengiz-Under,MFFW,Leicester City,9,281,3.1,0.3,1.8,3,5,6,0,70.5,6,2,0,0
90,Christian Fuchs\Christian-Fuchs,DF,Leicester City,9,702,7.8,0.1,0,15,16,27,31,81.2,1,0,0,0
97,Daniel Amartey\Daniel-Amartey,DF,Leicester City,12,722,8,0.4,0,12,19,24,42,85.8,0,1,0,0
148,Demarai Gray\Demarai-Gray,FW,Leicester City,1,19,0.2,0.1,0,2,0,2,0,63.6,0,0,0,0
159,Dennis Praet\Dennis-Praet,MFFW,Leicester City,15,718,8,0.5,0.8,12,14,21,3,79.2,7,2,0,0
167,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,10,316,3.5,0.4,0,11,9,16,6,80.9,0,1,0,0
184,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,25,1945,21.6,6.2,1.5,22,24,38,13,74.8,25,25,0,0
213,Islam Slimani\Islam-Slimani,FW,Leicester City,1,20,0.2,0,0,0,0,0,0,72.7,1,0,0,0
233,James Justin\James-Justin,DF,Leicester City,23,2070,23,1.6,1.6,63,54,88,64,79.2,18,3,0,0
267,James Maddison\James-Maddison,MFFW,Leicester City,31,2099,23.3,4.4,5.3,37,13,48,6,77.3,52,24,0,0
288,Jamie Vardy\Jamie-Vardy,FW,Leicester City,34,2840,31.6,19.7,4.9,15,16,23,29,66.4,27,27,0,0
320,Jonny Evans\Jonny-Evans,DF,Leicester City,28,2473,27.5,1.7,0.3,21,27,62,146,87.5,8,3,0,0
333,Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,38,3420,38,0,0,0,0,0,0,72.7,0,0,0,65.7
343,Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,25,1459,16.2,7.8,2.9,12,19,16,1,79.8,25,25,0,0
372,Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,1,10,0.1,0,0,1,0,1,0,77.8,0,0,0,0
373,Luke Thomas\Luke-Thomas,DF,Leicester City,14,969,10.8,0.3,0.2,23,28,39,26,74.2,5,3,0,0
383,Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,31,1746,19.4,1.3,4.4,43,32,71,26,68.8,39,9,0,0
431,Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,23,1459,16.2,0.1,0.4,35,24,44,11,91.4,6,2,0,0
445,Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,15,959,10.7,0.4,0.5,37,28,53,26,78.3,9,4,0,0
452,Sidnei Tavares\Sidnei-Tavares,MF,Leicester City,2,85,0.9,0.1,0,0,1,1,0,73.1,0,1,0,0
464,Timothy Castagne\Timothy-Castagne,DF,Leicester City,27,2345,26.1,1.3,2,59,53,82,67,83.8,22,3,0,0
472,Wes Morgan\Wes-Morgan,DF,Leicester City,3,18,0.2,0,0,0,0,0,1,100,0,0,0,0
473,Wesley Fofana\Wesley-Fofana,DF,Leicester City,28,2262,25.1,1,0.3,63,47,114,125,88.2,6,2,0,0
487,Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,26,2176,24.2,0.8,1.5,108,66,170,77,88.1,15,1,0,0
489,Youri Tielemans\Youri-Tielemans,MF,Leicester City,38,3357,37.3,4.5,3.3,77,57,113,29,78.6,48,18,0,0
